ID,Function,Function Description,Category ID,Category,Category Description,Subcategory ID,Subcategory Description,Implementation Example,In Scope? ,Owner,Stakeholders,Auditor,NIST 800-53 Control Ref,Test Procedure(s),Observation Date,Observations,Actual Score,Minimum Target,Desired Target,Gap to Minimum Target,Testing Status,Action Plan,Artifact Name,Linked Artifact URL,,Drop down values: In Scope?,Drop down values: Testing Status
DE.AE-08 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.AE,Adverse Event Analysis (DE.AE),"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.AE-08,Incidents are declared when adverse events meet the defined incident criteria,Ex2: Take known false positives into account when applying incident criteria,No,,,,"IR-04,IR-08",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-01 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex2: Monitor wired and wireless networks for connections from unauthorized endpoints,No,,,,"AC-02,AU-12,CA-07,CM-03,SC-05,SC-07,SI-04",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-01 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex3: Monitor facilities for unauthorized or rogue wireless networks,No,,,,"AC-02,AU-12,CA-07,CM-03,SC-05,SC-07,SI-04",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-01 Ex4,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex4: Compare actual network flows against baselines to detect deviations,No,,,,"AC-02,AU-12,CA-07,CM-03,SC-05,SC-07,SI-04",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-01 Ex5,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-01,Networks and network services are monitored to find potentially adverse events,Ex5: Monitor network communications to identify changes in security postures for zero trust purposes,No,,,,"AC-02,AU-12,CA-07,CM-03,SC-05,SC-07,SI-04",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-02 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex2: Review and monitor physical access records (e.g., from visitor registration, sign-in sheets)",No,,,,"CA-07,PE-03,PE-06,PE-20",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-02 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex3: Monitor physical access controls (e.g., locks, latches, hinge pins, alarms) for signs of tampering",No,,,,"CA-07,PE-03,PE-06,PE-20",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-02 Ex4,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-02,The physical environment is monitored to find potentially adverse events,"Ex4: Monitor the physical environment using alarm systems, cameras, and security guards",No,,,,"CA-07,PE-03,PE-06,PE-20",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-03 Ex1,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,Ex1: Use behavior analytics software to detect anomalous user activity to mitigate insider threats,No,,,,"AC-02,AU-12,AU-13,CA-07,CM-10,CM-11",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-03 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,"Ex3: Continuously monitor deception technology, including user accounts, for any usage",No,,,,"AC-02,AU-12,AU-13,CA-07,CM-10,CM-11",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-06 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-06,External service provider activities and services are monitored to find potentially adverse events,"Ex2: Monitor activity from cloud-based services, internet service providers, and other service providers for deviations from expected behavior",No,,,,"CA-07,PS-07,SA-04,SA-09,SI-04",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-09 Ex2,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",Ex2: Monitor authentication attempts to identify attacks against credentials and unauthorized credential reuse,No,,,,"AC-04,AC-09,AU-12,CA-07,CM-03,CM-06,CM-10,CM-11,SC-34,SC-35,SI-04,SI-07",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-09 Ex3,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",Ex3: Monitor software configurations for deviations from security baselines,No,,,,"AC-04,AC-09,AU-12,CA-07,CM-03,CM-06,CM-10,CM-11,SC-34,SC-35,SI-04,SI-07",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-09 Ex4,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",Ex4: Monitor hardware and software for signs of tampering,No,,,,"AC-04,AC-09,AU-12,CA-07,CM-03,CM-06,CM-10,CM-11,SC-34,SC-35,SI-04,SI-07",,,,0,5,7,5,  Not Started  ,,,,,,
DE.CM-09 Ex5,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,DE.CM,Continuous Monitoring (DE.CM),"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events","Ex5: Use technologies with a presence on endpoints to detect cyber health issues (e.g., missing patches, malware infections, unauthorized software), and redirect the endpoints to a remediation environment before access is authorized",No,,,,"AC-04,AC-09,AU-12,CA-07,CM-03,CM-06,CM-10,CM-11,SC-34,SC-35,SI-04,SI-07",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OC-02 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-02,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered","Ex2: Identify relevant external stakeholders and their cybersecurity-related expectations (e.g., privacy expectations of customers, business expectations of partnerships, compliance expectations of regulators, ethics expectations of society)",No,,,,"PM-09,PM-18,PM-30,SR-03,SR-05,SR-06,SR-08",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OC-03 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed","Ex1: Determine a process to track and manage legal and regulatory requirements regarding protection of individuals' information (e.g., Health Insurance Portability and Accountability Act, California Consumer Privacy Act, General Data Protection Regulation)",No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PM-28,PS-01,PT,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OC-03 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed","Ex3: Align the organization's cybersecurity strategy with legal, regulatory, and contractual requirements",No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PM-28,PS-01,PT,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OC-04 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",Ex1: Establish criteria for determining the criticality of capabilities and services as viewed by internal and external stakeholders,No,,,,"CP-02(08),PM-08,PM-11,PM-30(01),RA-09",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OC-04 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated","Ex2: Determine (e.g., from a business impact analysis) assets and business operations that are vital to achieving mission objectives and the potential impact of a loss (or partial loss) of such operations",No,,,,"CP-02(08),PM-08,PM-11,PM-30(01),RA-09",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OC-05 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OC,Organizational Context (GV.OC),"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-05,"Outcomes, capabilities, and services that the organization depends on are understood and communicated","Ex1: Create an inventory of the organization's dependencies on external resources (e.g., facilities, cloud-based hosting providers) and their relationships to organizational assets and business functions",No,,,,"PM-11,PM-30,RA-07,SA-09,SR-05",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OV-01 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OV,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-01,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,Ex1: Measure how well the risk management strategy and risk results have helped leaders make decisions and achieve organizational objectives,No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PM-09,PM-18,PM-30,PM-31,PS-01,PT-01,RA-01,RA-07,SA-01,SC-01,SI-01,SR-01,SR-06",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OV-02 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OV,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,Ex2: Review the performance oversight of those in cybersecurity-related roles to determine whether policy changes are necessary,No,,,,"PM-09,PM-19,PM-30,PM-31,RA-07,SR-06",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OV-02 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OV,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,Ex3: Review strategy in light of cybersecurity incidents,No,,,,"PM-09,PM-19,PM-30,PM-31,RA-07,SR-06",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OV-03 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OV,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-03,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,Ex1: Review key performance indicators (KPIs) to ensure that organization-wide policies and procedures achieve objectives,No,,,,"PM-04,PM-06,RA-07,SR-06",,,,0,5,7,5,  Not Started  ,,,,,,
GV.OV-03 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.OV,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-03,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,Ex3: Collect and communicate metrics on cybersecurity risk management with senior leadership,No,,,,"PM-04,PM-06,RA-07,SR-06",,,,0,5,7,5,  Not Started  ,,,,,,
GV.PO-01 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced","Ex1: Create, disseminate, and maintain an understandable, usable risk management policy with statements of management intent, expectations, and direction",No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,,,0,5,7,5,  Not Started  ,,,,,,
GV.PO-01 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced","Ex2: Periodically review policy and supporting processes and procedures to ensure that they align with risk management strategy objectives and priorities, as well as the high-level direction of the cybersecurity policy",No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,,,0,5,7,5,  Not Started  ,,,,,,
GV.PO-01 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",Ex3: Require approval from senior management on policy,No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,,,0,5,7,5,  Not Started  ,,,,,,
GV.PO-01 Ex4,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",Ex4: Communicate cybersecurity risk management policy and supporting processes and procedures across the organization,No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,,,0,5,7,5,  Not Started  ,,,,,,
GV.PO-02 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission","Ex2: Provide a timeline for reviewing changes to the organization's risk environment (e.g., changes in risk or in the organization's mission objectives), and communicate recommended policy updates",No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,,,0,5,7,5,  Not Started  ,,,,,,
GV.PO-02 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",Ex3: Update policy to reflect changes in legal and regulatory requirements,No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,,,0,5,7,5,  Not Started  ,,,,,,
GV.PO-02 Ex4,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.PO,Policy (GV.PO),"Organizational cybersecurity policy is established, communicated, and enforced",GV.PO-02,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission","Ex4: Update policy to reflect changes in technology (e.g., adoption of artificial intelligence) and changes to the business (e.g., acquisition of a new business, new contract requirements)",No,,,,"AC-01,AT-01,AU-01,CA-01,CM-01,CP-01,IA-01,IR-01,MA-01,MP-01,PE-01,PL-01,PM-01,PS-01,PT-01,RA-01,SA-01,SC-01,SI-01,SR-01",,,,0,5,7,5,  Not Started  ,,,,,,
GV.RM-01 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-01,Risk management objectives are established and agreed to by organizational stakeholders,Ex1: Update near-term and long-term cybersecurity risk management objectives as part of annual strategic planning and when major changes occur,No,,,,"PM-09,RA-07,SR-02",,,,0,5,7,5,  Not Started  ,,,,,,
GV.RM-01 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-01,Risk management objectives are established and agreed to by organizational stakeholders,Ex3: Senior leaders agree about cybersecurity objectives and use them for measuring and managing risk and performance,No,,,,"PM-09,RA-07,SR-02",,,,0,5,7,5,  Not Started  ,,,,,,
GV.RM-02 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-02,"Risk appetite and risk tolerance statements are established, communicated, and maintained",Ex1: Determine and communicate risk appetite statements that convey expectations about the appropriate level of risk for the organization,No,,,,PM-09,,,,0,5,7,5,  Not Started  ,,,,,,
GV.RM-02 Ex2,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-02,"Risk appetite and risk tolerance statements are established, communicated, and maintained","Ex2: Translate risk appetite statements into specific, measurable, and broadly understandable risk tolerance statements",No,,,,PM-09,,,,0,5,7,5,  Not Started  ,,,,,,
GV.RM-03 Ex1,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-03,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,"Ex1: Aggregate and manage cybersecurity risks alongside other enterprise risks (e.g., compliance, financial, operational, regulatory, reputational, safety)",No,,,,"PM-03,PM-09,PM-30,RA-07,SR-02",,,,0,5,7,5,  Not Started  ,,,,,,
GV.RM-03 Ex3,GOVERN (GV),"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV.RM,Risk Management Strategy (GV.RM),"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GV.RM-03,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,Ex3: Establish criteria for escalating cybersecurity risks within enterprise risk management,No,,,,"PM-03,PM-09,PM-30,RA-07,SR-02",,,,0,5,7,5,  Not Started  ,,,,,,
